"gene","cell_type","log2FC","pvalue","padj","significance","category"
"HSPD1","Amacrine",1.44125176536646,8.77850005329615e-06,0.000983192005969169,"padj < 0.05","Chaperones"
"CLU","Amacrine",1.34534063572768,1.18537840938048e-05,0.00124056651893196,"padj < 0.05","Chaperones"
"CANX","Amacrine",1.01366577618505,2.7717000874354e-07,4.87468363114686e-05,"padj < 0.05","Chaperones"
"PDIA3","Amacrine",1.13695681900176,4.31898138102502e-06,0.000586646322052419,"padj < 0.05","Chaperones"
"ERBB4","Amacrine",0.189039395681611,0.729088465162996,0.946999137660339,"NS","Survival_Signaling"
"CD63","RGC",1.26885706069694,0.00801669069344576,NA,"p < 0.05","Tetraspanins"
"TSPAN7","RGC",0.865454194635476,0.00420393881604367,0.113996807561718,"p < 0.05","Tetraspanins"
"TSPAN3","RGC",0.142087610007447,0.802243720704433,NA,"NS","Tetraspanins"
"TSPAN5","RGC",-0.285561025746397,0.469606891920834,NA,"NS","Tetraspanins"
"TSPAN14","RGC",1.20943764427022,0.20601530951922,NA,"NS","Tetraspanins"
"TSPAN15","RGC",-1.13094307783201,0.399745704385132,NA,"NS","Tetraspanins"
"CTNNA1","RGC",0.331049867326482,0.484257455019239,NA,"NS","Catenins"
"CTNNA2","RGC",-0.101638049901671,0.59153438583525,0.998814420058434,"NS","Catenins"
"CTNNB1","RGC",1.59821729123317,0.0108388138354222,NA,"p < 0.05","Catenins"
"CTNND1","RGC",-0.438912208105811,0.523944953036449,NA,"NS","Catenins"
"CDH2","RGC",-0.0694479607311055,0.854264582112053,0.998814420058434,"NS","Cadherins"
"CDH18","RGC",-0.355289459832536,0.127232482286052,0.971067719515583,"NS","Cadherins"
"PCDH15","RGC",-0.0178486492529165,0.960520601907857,0.998814420058434,"NS","Cadherins"
"PARD3","RGC",-0.0194600586412283,0.966222574371966,NA,"NS","Polarity_Complex"
"PARD3B","RGC",-0.214321007540959,0.486669807301279,0.998814420058434,"NS","Polarity_Complex"
"PARD6A","RGC",1.58413249055141,0.183646368718845,NA,"NS","Polarity_Complex"
"CRB1","RGC",-0.824766388912859,0.342668018146902,NA,"NS","Polarity_Complex"
"MPDZ","RGC",0.218262408971239,0.542431004985575,0.998814420058434,"NS","Polarity_Complex"
"TJP1","RGC",-0.191714389055518,0.579930939743827,0.998814420058434,"NS","Tight_Junctions"
"TJP2","RGC",0.12477289434544,0.872429221867578,NA,"NS","Tight_Junctions"
"JAM2","RGC",-0.25577342570506,0.494516048699493,0.998814420058434,"NS","Tight_Junctions"
"JAM3","RGC",-0.164636344267748,0.855758755159905,NA,"NS","Tight_Junctions"
"VIM","RGC",0.531871688628789,0.515091674843962,NA,"NS","Cytoskeleton"
"RDX","RGC",0.217076757423131,0.564358331414597,0.998814420058434,"NS","Cytoskeleton"
"CFL2","RGC",0.855519629332077,0.188001743333648,NA,"NS","Cytoskeleton"
"GLUL","RGC",-0.732804560033198,0.314153410158833,NA,"NS","Glial_Function"
"SLC1A2","RGC",0.168042865309337,0.8618101109891,NA,"NS","Glial_Function"
"HSP90AB1","RGC",1.07561222168417,9.53759793702224e-07,0.000155176718435352,"padj < 0.05","Chaperones"
"HSP90AA1","RGC",0.903964063573028,0.000110516902796834,0.00719244003401799,"padj < 0.05","Chaperones"
"HSP90B1","RGC",1.0218191523065,0.000194461024667901,0.010811419686585,"padj < 0.05","Chaperones"
"HSPA5","RGC",0.740916609221786,0.0838246959166743,NA,"NS","Chaperones"
"HSPD1","RGC",0.869956268844813,0.0431604103606654,NA,"p < 0.05","Chaperones"
"CLU","RGC",1.48074809794823,4.61470439105859e-06,0.000622662083676986,"padj < 0.05","Chaperones"
"CANX","RGC",0.902385485575453,0.00118326198958224,0.048490192600911,"padj < 0.05","Chaperones"
"PDIA3","RGC",0.6032508704656,0.0898859002207532,0.834169354639063,"NS","Chaperones"
"ERBB4","RGC",-0.470385610467552,0.689522018425885,NA,"NS","Survival_Signaling"
"CD63","Horizontal",0.824734775571697,0.389133982468482,NA,"NS","Tetraspanins"
"TSPAN7","Horizontal",1.18564928000773,0.001739680939643,0.0382315596973926,"padj < 0.05","Tetraspanins"
"TSPAN3","Horizontal",-1.14901010202438,0.210430958859172,NA,"NS","Tetraspanins"
"TSPAN5","Horizontal",0.302907874985747,0.407000727879316,0.809615672053035,"NS","Tetraspanins"
"TSPAN14","Horizontal",1.09019270776675,0.41840568552307,NA,"NS","Tetraspanins"
"TSPAN15","Horizontal",0.341576264633407,0.70201730919,NA,"NS","Tetraspanins"
"CTNNA1","Horizontal",0.471477456351145,0.493212388163243,NA,"NS","Catenins"
"CTNNA2","Horizontal",-0.089209823603902,0.745486833095853,0.941990083749692,"NS","Catenins"
"CTNNB1","Horizontal",-0.105010713725391,0.874029772674918,NA,"NS","Catenins"
"CTNND1","Horizontal",0.381665617111624,0.774880636101884,NA,"NS","Catenins"
"CDH2","Horizontal",0.623972341829868,0.186062793677373,0.561228622758875,"NS","Cadherins"
"CDH18","Horizontal",-0.729983441797882,0.106684730264471,0.416533788008148,"NS","Cadherins"
"PCDH15","Horizontal",-0.740191361078524,0.144844197804452,0.500716084544979,"NS","Cadherins"
"PARD3","Horizontal",0.896115353548751,0.400983115106078,NA,"NS","Polarity_Complex"
"PARD3B","Horizontal",0.140393289058249,0.849957141573815,NA,"NS","Polarity_Complex"
"CRB1","Horizontal",-0.776482852635892,0.390578665644531,NA,"NS","Polarity_Complex"
"MPDZ","Horizontal",0.0271457736033594,0.957164421733406,NA,"NS","Polarity_Complex"
"TJP1","Horizontal",-0.237645806162761,0.474054391415231,0.837412620159335,"NS","Tight_Junctions"
"TJP2","Horizontal",0.52218685353118,0.469960762972646,NA,"NS","Tight_Junctions"
"JAM2","Horizontal",0.380145853630505,0.786748456046385,NA,"NS","Tight_Junctions"
"JAM3","Horizontal",-0.366712269410127,0.770286141925755,NA,"NS","Tight_Junctions"
"VIM","Horizontal",0.424443434294975,0.421868677894955,NA,"NS","Cytoskeleton"
"RDX","Horizontal",0.378434445243585,0.534078236989096,NA,"NS","Cytoskeleton"
"CFL2","Horizontal",0.242438739461153,0.793155981496755,NA,"NS","Cytoskeleton"
"SLC1A2","Horizontal",-0.799615495892212,0.350352448464338,NA,"NS","Glial_Function"
"HSP90AB1","Horizontal",1.33982761586413,0.000313014855688869,0.0137577481809917,"padj < 0.05","Chaperones"
"HSP90AA1","Horizontal",1.43782525347392,0.000369023002494875,0.0154821923319441,"padj < 0.05","Chaperones"
"HSP90B1","Horizontal",1.56549796696333,7.92704275547249e-06,0.00104523720904302,"padj < 0.05","Chaperones"
"HSPA5","Horizontal",1.93480450792651,0.0073674073869678,NA,"p < 0.05","Chaperones"
"HSPD1","Horizontal",1.1254666219165,0.0989262734338598,NA,"NS","Chaperones"
"CLU","Horizontal",0.869100804662812,0.108173064467034,NA,"NS","Chaperones"
"CANX","Horizontal",0.711803384291677,0.0557791369658924,0.285403528513365,"NS","Chaperones"
"PDIA3","Horizontal",1.08271368657474,0.0385937731809342,NA,"p < 0.05","Chaperones"
"ERBB4","Horizontal",-0.234059866425164,0.695025379675646,NA,"NS","Survival_Signaling"
"TSPAN7","Bipolar",-0.179782031486615,0.669610444283678,0.999985254041634,"NS","Tetraspanins"
"TSPAN3","Bipolar",0.516542334195147,0.461130892634566,0.999985254041634,"NS","Tetraspanins"
"TSPAN5","Bipolar",0.462852796290075,0.286859673761452,0.999985254041634,"NS","Tetraspanins"
"CTNNA1","Bipolar",0.452131803288818,0.491223739918334,0.999985254041634,"NS","Catenins"
"CTNNA2","Bipolar",-1.11526928933504,0.000733598300425735,0.682549587243398,"p < 0.05","Catenins"
"CTNNB1","Bipolar",0.661345177622597,0.447270078725029,0.999985254041634,"NS","Catenins"
"CTNND1","Bipolar",-0.0251244022598936,0.98287332440213,0.999985254041634,"NS","Catenins"
"CDH2","Bipolar",-1.07346056535457,0.075273300846365,0.999985254041634,"NS","Cadherins"
"CDH18","Bipolar",-1.1354908144703,0.0711704843043985,0.999985254041634,"NS","Cadherins"
"PCDH15","Bipolar",-0.528170850419601,0.0747335967342,0.999985254041634,"NS","Cadherins"
"PARD3","Bipolar",-0.659483522918819,0.324315213477236,0.999985254041634,"NS","Polarity_Complex"
"CRB1","Bipolar",-0.409966961326649,0.46916667153255,0.999985254041634,"NS","Polarity_Complex"
"MPDZ","Bipolar",-0.426783223485669,0.401309353879164,0.999985254041634,"NS","Polarity_Complex"
"TJP1","Bipolar",0.183181281977415,0.631283432442095,0.999985254041634,"NS","Tight_Junctions"
"TJP2","Bipolar",-0.0522574316750833,0.897785568292686,0.999985254041634,"NS","Tight_Junctions"
"JAM2","Bipolar",-1.34210986504905,0.253735391135861,0.999985254041634,"NS","Tight_Junctions"
"JAM3","Bipolar",0.325670438881439,0.752811117168067,0.999985254041634,"NS","Tight_Junctions"
"VIM","Bipolar",0.261803667881096,0.708082150294686,0.999985254041634,"NS","Cytoskeleton"
"RDX","Bipolar",0.86089589876762,0.149811975279115,0.999985254041634,"NS","Cytoskeleton"
"CFL2","Bipolar",2.13399003387405,0.0560064674126553,0.999985254041634,"NS","Cytoskeleton"
"SLC1A2","Bipolar",-0.125604614178675,0.725384023171023,0.999985254041634,"NS","Glial_Function"
"HSP90AB1","Bipolar",1.47909414912114,0.00402051042512808,0.999985254041634,"p < 0.05","Chaperones"
"HSP90AA1","Bipolar",0.600878248911974,0.138524485867609,0.999985254041634,"NS","Chaperones"
"HSP90B1","Bipolar",1.14936281238908,0.00494075872755742,0.999985254041634,"p < 0.05","Chaperones"
"HSPA5","Bipolar",0.939283609455213,0.255133160775211,0.999985254041634,"NS","Chaperones"
"HSPD1","Bipolar",2.04670938405074,0.0085860312203339,0.999985254041634,"p < 0.05","Chaperones"
"CANX","Bipolar",0.685318334570307,0.157553682517349,0.999985254041634,"NS","Chaperones"
"PDIA3","Bipolar",0.942277382044871,0.142481064922939,0.999985254041634,"NS","Chaperones"
